,crashes,crashes,crashes,cyclist,cyclist,cyclist,driver,driver,driver,passenger,passenger,passenger,pedestrian,pedestrian,pedestrian
,cur_ytd,prv_end,prv_ytd,cur_ytd,prv_end,prv_ytd,cur_ytd,prv_end,prv_ytd,cur_ytd,prv_end,prv_ytd,cur_ytd,prv_end,prv_ytd
county,,,,,,,,,,,,,,,
Atlantic,3,36,3,0,2,0,2,17,1,0,7,0,1,13,2
Bergen,5,36,2,0,1,0,2,21,0,0,4,0,3,12,2
Camden,3,41,3,0,5,0,0,19,1,0,7,2,3,11,0
Cape May,0,7,1,0,0,0,0,4,1,0,1,0,0,2,0
Essex,2,50,6,0,2,0,0,23,1,0,5,1,2,24,4
Gloucester,1,33,2,0,1,0,1,22,2,0,7,1,0,5,0
Hudson,2,25,2,0,3,0,1,11,1,0,3,0,1,10,1
Hunterdon,1,4,1,0,1,1,0,3,0,0,0,0,1,0,0
Mercer,2,31,1,0,0,0,2,16,0,0,3,0,0,12,1
Middlesex,6,62,8,0,2,0,2,32,5,2,9,0,4,21,3
Monmouth,5,38,5,0,4,1,1,18,0,3,7,0,2,9,4
Morris,0,22,2,0,0,0,0,14,1,0,4,0,0,4,1
Ocean,6,41,3,0,1,0,2,28,2,0,7,0,4,8,1
Passaic,1,24,1,0,0,0,0,15,1,0,1,0,1,9,0
Union,1,34,5,0,2,0,0,13,3,0,6,1,1,15,2
Warren,0,12,1,0,0,0,0,8,0,0,1,0,0,3,1
Burlington,3,34,0,0,1,0,2,26,0,1,3,0,0,6,0
Cumberland,1,20,0,0,0,0,0,13,0,0,5,0,1,4,0
Salem,0,11,0,0,0,0,0,8,0,0,2,0,0,2,0
Somerset,0,22,0,0,0,0,0,14,0,0,4,0,0,6,0
Sussex,0,6,0,0,0,0,0,6,0,0,2,0,0,1,0
